27055	anša°lle	alea°	おお神よ！				
16011	ŕwrbaqe	qwrbaqe	〈動〉蛙（かえる）				
16011	ŕwrbaqe ay	qwrbaqe	〈動〉蛙（かえる）				
16033	qwrbaqe	qwrbaqe	〈動〉蛙（かえる）				
16011	ŕwrbaqe	qwrbaqe	〈動〉蛙（かえる）				
28029	čra	a	呼びかけを表わす接尾辞				
5019	a	az	（場所）・・・から				
26008	a	az	（場所）・・・から				
26020	a	az	（場所）・・・から				
8071	a	az	（場所）・・・から				
28093	a	az	（場所）・・・から				
28067	a	az	（場所）・・・から				
30012	a	az	（場所）・・・から				
5048	aşa	aşla	元来				
16021	age	agr	もしも・・・ならば				
16023	age	agr	もしも・・・ならば				
17028	age	agr	もしも・・・ならば				
20008	age	agr	もしも・・・ならば				
18022	age	agr	もしも・・・ならば				
22043	age	agr	もしも・・・ならば				
30014	age	agr	もしも・・・ならば				
30016	age	agr	もしも・・・ならば				
25040	alān	alan	ちょうど今				
28090	ala	alan	ちょうど今				
13012	beanŕdr	ānŕdr	非常に…ので				
29028	awnwŕt	ānwŕt	その時				
25002	awnwŕt	ānwŕt	その時				
29016	awnwŕt	ānwŕt	その時				
28068	aynŕde	aynŕdr	こんなに				
28068	aynŕde	aynŕdr	こんなに				
28068	aynŕde	aynŕdr	こんなに				
28068	aynŕde	aynŕdr	こんなに				
13015	be	ba	（同伴、同居など）…と（共に）				
13024	ba	ba	（同伴、同居など）…と（共に）				
13035	ba	ba	（同伴、同居など）…と（共に）				
13060	ba	ba	（同伴、同居など）…と（共に）				
13065	ba	ba	（同伴、同居など）…と（共に）				
11006	ba	ba	（同伴、同居など）…と（共に）				
13020	ba	ba	（同伴、同居など）…と（共に）				
13021	ba	ba	（同伴、同居など）…と（共に）				
12005	ba	ba	（同伴、同居など）…と（共に）				
16020	ba	ba	（同伴、同居など）…と（共に）				
17018	ba	ba	（同伴、同居など）…と（共に）				
17019	ba	ba	（同伴、同居など）…と（共に）				
17027	ba	ba	（同伴、同居など）…と（共に）				
17037	ba	ba	（同伴、同居など）…と（共に）				
18026	ba	ba	（同伴、同居など）…と（共に）				
18066	ba	ba	（同伴、同居など）…と（共に）				
19003	ba	ba	（同伴、同居など）…と（共に）				
