34025	 dwtaš 	aw	三人称単数人称代名詞（彼、彼女）	ta	・・・個pos_num:sp_	dw	2
33021	 srdršw 	ra	・・・を	aw	あれ、それ	srdr	（建物の）正面
49009	 ħlal āra 	ħlal	イスラム法にかなった	rae	道	az	（場所）・・・から 
58041	 bjayke 	ja	場所	be	・・・に	ke	・・・であるということ 
44080	 bčye 	bwdn	・・・である	če	なに	be	・・・に 
50039	 rwše 	bwdn	・・・である	aw	三人称単数人称代名詞（彼、彼女）	rw	・・・の上に 
50067	 emčyzyw 	ra	・・・を	čyz	もの	em	・・もまた 
50049	 emšwnm 	em	・・もまた	ānea	彼ら	eme	すべて 
47007	 xwnšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	xane	家
57035	 dxtranš 	bwdn	・・・である	tw	お前	yad	記憶 
36018	 wẓyfte 	bwdn	・・・である	tw	お前	wẓyfe	義務 
37015	 pwltw 	ra	・・・を	tw	お前	pwl	金銭 
62019	 pwlme 	bwdn	・・・である	mn	私	pwl	金銭 
43031	 bradrše 	bwdn	・・・である	aw	三人称単数人称代名詞（彼、彼女）	bradr	兄弟 
47020	 deantane 	bwdn	・・・である	šma	あなた	dean	口 
33006	 bazmandganšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	bazmande	残存
35010	 bčše 	bwdn	・・・である	aw	あれ、それ	bče	子供
38015	 bče ašw 	ra	・・・を	aw	あれ、それ 	bče	子供
33009	 bče eašw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	bče	子供
33003	 frzndanšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	frznd	子供
33005	 frzndanšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	frznd	子供
34036	 angštšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	angšt	指 
33003	 mrgšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	mrg	死
33005	 mrgšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	mrg	死
33006	 mrgšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	mrg	死
34045	 dndwnte 	bwdn	・・・である	tw	お前	dndan	歯 
34046	 dndwnme 	bwdn	・・・である	mn	私	dndan	歯 
53088	 wŕtše 	bwdn	・・・である	aw	三人称単数人称代名詞（彼、彼女）	wŕt	時間 
44070	 xwdšwnw 	ra	・・・を	ānea	彼ら	xwd	自身
44079	 xwdtwnw 	ra	・・・を	šma	あなた	xwd	自身 
56013	 xwdtw 	ra	・・・を	tw	お前	xwd	自身 
40031	 xwdšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	xwd	自身 
43039	 xwdšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	xwd	自身 
44079	 xwdmw 	ra	・・・を	mn	私	xwd	自身 
50079	 xwdmw 	ra	・・・を	mn	私	xwd	自身 
50079	 xwdšwnw 	ra	・・・を	ānea	彼ら	xwd	自身 
45023	 dstšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	dst	手 
49013	 dstšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	dst	手 
59011	 dst eat 	tw	お前	ea	名詞複数形語尾	dst	手 
50057	 xwrakyarm 	em	・・もまた	ra	・・・を	xwraky	食物 
50053	 jlwšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	jlw	前方に 
38024	 pašw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	pa	足
34038	 pamw 	ra	・・・を	mn	私	pa	足 
41038	 tnšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	tn	体
34059	 wsţšwnm 	em	・・もまた	ānea	彼ら	wsţ	中央 
49002	 tešm 	em	・・もまた	aw	三人称単数人称代名詞（彼、彼女）	te	底 
33010	 ŕdršw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	ŕdr	天命
37024	 srše 	bwdn	・・・である	aw	三人称単数人称代名詞（彼、彼女）	sr	頭 
41026	 sršw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	sr	頭 
57016	 gwštašm 	em	・・もまた	aw	三人称単数人称代名詞（彼、彼女）	gwšt	肉 
37038	 asbatw 	ra	・・・を	tw	お前	asb	馬 
50004	 nşfšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	nşf	半分 
50004	 nşfšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	nşf	半分 
50052	 lbasšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	lbas	服 
50085	 madršm 	em	・・もまた	aw	三人称単数人称代名詞（彼、彼女）	madr	母 
35008	 xwastnšw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	xwastn	望む
31051	 srgđštšwnw 	ra	・・・を	ānea	彼ら	srgđšt	冒険 
40014	 čšašw 	ra	・・・を	aw	三人称単数人称代名詞（彼、彼女）	čšm	目 
40018	 čššašm 	em	・・もまた	aw	三人称単数人称代名詞（彼、彼女）	čšm	目 
64013	 ydwne 	dane	…個	yk	1		
41039	 yew 	ew	ため息	yk	1		
41039	 yew 	ew	ため息	yk	1		
45043	 yew 	ew	ため息	yk	1		
50052	 yew 	ew	ため息	yk	1		
50052	 yew 	ew	ため息	yk	1		
50071	 yew 	ew	ため息	yk	1		
50083	 yew 	ew	ため息	yk	1		
40007	 ykmy 	kmy	少し	yk	1		
40009	 ykmy 	kmy	少し	yk	1		
62025	 yxrde 	xrde	断片	yk	1		
45005	 yew 	ew	彼	yk	1		
46041	 krdnw 	w	そして	krdn	（あることを）する		
45014	 myknnw 	w	そして	krdn	（あることを）する		
45042	 krdnš 	aw	三人称単数人称代名詞（彼、彼女）	krdn	（あることを）する		
60005	 karkne 	kar	仕事	krdn	（あることを）する		
32024	 bqčš 	 他称-単数-女-_	aw	bqče	（衣服などをつつむ）風呂敷		
33017	 sr drw 	ra	・・・を	srdr	（建物の）正面		
33016	 srdrw 	ra	・・・を	srdr	（建物の）正面		
33012	 srdrš 	aw	あれ、それ	srdr	（建物の）正面		
49040	 gđštš 	aw	三人称単数人称代名詞（彼、彼女）	gđštn	（時が）過ぎる		
53099	 gle at 	tw	お前	gle	（獣の）群れ		
40030	 azš 	aw	三人称単数人称代名詞（彼、彼女）	az	（場所）・・・から		
44088	 azš 	aw	三人称単数人称代名詞（彼、彼女）	az	（場所）・・・から		
44088	 azš 	aw	三人称単数人称代名詞（彼、彼女）	az	（場所）・・・から		
58005	 azš 	aw	三人称単数人称代名詞（彼、彼女）	az	（場所）・・・から		
40010	 azm 	mn	私	az	（場所）・・・から		
36038	 azja 	ja	場所	az	（場所）・・・から		
49009	 āra 	rae	道	az	（場所）・・・から		
34038	 aşlye 	bwdn	・・・である	aşly	（人名）アスリー		
34031	 aşlym 	em	・・もまた	aşly	（人名）アスリー		
34045	 aşlym 	em	・・もまた	aşly	（人名）アスリー		
34047	 aşlym 	em	・・もまた	aşly	（人名）アスリー		
34051	 krme 	bwdn	・・・である	krm	（人名）キャラム		
34029	 krmw 	ra	・・・を	krm	（人名）キャラム		
34002	 krmm 	em	・・もまた	krm	（人名）キャラム		
34005	 krmm 	em	・・もまた	krm	（人名）キャラム		
34010	 krmm 	em	・・もまた	krm	（人名）キャラム		
34015	 krmm 	em	・・もまた	krm	（人名）キャラム		
40012	 šrm 	em	・・もまた	šr	（人名）シャル		
40018	 xyrw 	ra	・・・を	xyr3	（人名）ヘイル		
