27055	انشاءلله	الهاء	おお神よ！				
16011	قورباغه	غورباغه	〈動〉蛙（かえる）				
16011	قورباغه ای	غورباغه	〈動〉蛙（かえる）				
16033	غورباغه	غورباغه	〈動〉蛙（かえる）				
16011	قورباغه	غورباغه	〈動〉蛙（かえる）				
28075	فرداش	فرداش	その日の翌日				
28072	فرداش	فرداش	その日の翌日				
13039	ا	ا	呼びかけを表わす接尾辞				
12007	ا	ا	呼びかけを表わす接尾辞				
28029	ا	ا	呼びかけを表わす接尾辞				
28029	ا	ا	呼びかけを表わす接尾辞				
28029	چرا	ا	呼びかけを表わす接尾辞				
28028	ا	ا	呼びかけを表わす接尾辞				
28044	اتفاقاً	اتفاقا	偶然に				
28076	اتفاقاً	اتفاقا	偶然に				
28093	اتفاقاً	اتفاقا	偶然に				
13030	اتفاقاً	اتفاقا	偶然に				
17007	احتمالاً	احتمالا	たぶん				
12006	از	از	（場所）・・・から				
12017	از	از	（場所）・・・から				
12017	از	از	（場所）・・・から				
12023	از	از	（場所）・・・から				
13037	از	از	（場所）・・・から				
13041	از	از	（場所）・・・から				
13043	از	از	（場所）・・・から				
13052	از	از	（場所）・・・から				
13063	از	از	（場所）・・・から				
13065	از	از	（場所）・・・から				
14016	از	از	（場所）・・・から				
15015	از	از	（場所）・・・から				
15016	از	از	（場所）・・・から				
15023	از	از	（場所）・・・から				
15032	از	از	（場所）・・・から				
11011	از	از	（場所）・・・から				
12001	از	از	（場所）・・・から				
12008	از	از	（場所）・・・から				
12020	از	از	（場所）・・・から				
13018	از	از	（場所）・・・から				
13053	از	از	（場所）・・・から				
14001	از	از	（場所）・・・から				
12008	از	از	（場所）・・・から				
12022	از	از	（場所）・・・から				
12022	از	از	（場所）・・・から				
17024	از	از	（場所）・・・から				
16005	از	از	（場所）・・・から				
16006	از	از	（場所）・・・から				
16018	از	از	（場所）・・・から				
16041	از	از	（場所）・・・から				
16045	از	از	（場所）・・・から				
16047	از	از	（場所）・・・から				
16050	از	از	（場所）・・・から				
16056	از	از	（場所）・・・から				
17003	از	از	（場所）・・・から				
17006	از	از	（場所）・・・から				
17008	از	از	（場所）・・・から				
17015	از	از	（場所）・・・から				
17018	از	از	（場所）・・・から				
17021	از	از	（場所）・・・から				
17021	از	از	（場所）・・・から				
17024	از	از	（場所）・・・から				
17037	از	از	（場所）・・・から				
17046	از	از	（場所）・・・から				
17046	از	از	（場所）・・・から				
17047	از	از	（場所）・・・から				
18003	از	از	（場所）・・・から				
18004	از	از	（場所）・・・から				
18040	از	از	（場所）・・・から				
19005	از	از	（場所）・・・から				
19013	از	از	（場所）・・・から				
20030	از	از	（場所）・・・から				
20037	از	از	（場所）・・・から				
16019	از	از	（場所）・・・から				
16027	از	از	（場所）・・・から				
17004	از	از	（場所）・・・から				
17035	از	از	（場所）・・・から				
17046	از	از	（場所）・・・から				
18028	از	از	（場所）・・・から				
18035	از	از	（場所）・・・から				
18045	از	از	（場所）・・・から				
18069	از	از	（場所）・・・から				
19006	از	از	（場所）・・・から				
20008	از	از	（場所）・・・から				
20019	از	از	（場所）・・・から				
20035	از	از	（場所）・・・から				
17041	از	از	（場所）・・・から				
17045	از	از	（場所）・・・から				
20004	از	از	（場所）・・・から				
17043	از	از	（場所）・・・から				
21004	از	از	（場所）・・・から				
21005	از	از	（場所）・・・から				
21011	از	از	（場所）・・・から				
21011	از	از	（場所）・・・から				
21012	از	از	（場所）・・・から				
21018	از	از	（場所）・・・から				
21020	از	از	（場所）・・・から				
21021	از	از	（場所）・・・から				
21023	از	از	（場所）・・・から				
21026	از	از	（場所）・・・から				
21030	از	از	（場所）・・・から				
21036	از	از	（場所）・・・から				
21040	از	از	（場所）・・・から				
21045	از	از	（場所）・・・から				
21045	از	از	（場所）・・・から				
21047	از	از	（場所）・・・から				
21054	از	از	（場所）・・・から				
21056	از	از	（場所）・・・から				
21057	از	از	（場所）・・・から				
21058	از	از	（場所）・・・から				
21058	از	از	（場所）・・・から				
21063	از	از	（場所）・・・から				
21067	از	از	（場所）・・・から				
21071	از	از	（場所）・・・から				
21073	از	از	（場所）・・・から				
22011	از	از	（場所）・・・から				
22012	از	از	（場所）・・・から				
22020	از	از	（場所）・・・から				
22039	از	از	（場所）・・・から				
22080	از	از	（場所）・・・から				
22087	از	از	（場所）・・・から				
22098	از	از	（場所）・・・から				
22109	از	از	（場所）・・・から				
22141	از	از	（場所）・・・から				
22151	از	از	（場所）・・・から				
21041	از	از	（場所）・・・から				
21042	از	از	（場所）・・・から				
21050	از	از	（場所）・・・から				
21051	از	از	（場所）・・・から				
21052	از	از	（場所）・・・から				
21060	از	از	（場所）・・・から				
21067	از	از	（場所）・・・から				
22001	از	از	（場所）・・・から				
22002	از	از	（場所）・・・から				
22009	از	از	（場所）・・・から				
22016	از	از	（場所）・・・から				
22017	از	از	（場所）・・・から				
22023	از	از	（場所）・・・から				
22024	از	از	（場所）・・・から				
22050	از	از	（場所）・・・から				
22061	از	از	（場所）・・・から				
22070	از	از	（場所）・・・から				
22100	از	از	（場所）・・・から				
22113	از	از	（場所）・・・から				
22134	از	از	（場所）・・・から				
22136	از	از	（場所）・・・から				
22143	از	از	（場所）・・・から				
21075	از	از	（場所）・・・から				
21075	از	از	（場所）・・・から				
22021	از	از	（場所）・・・から				
22048	از	از	（場所）・・・から				
22053	از	از	（場所）・・・から				
21038	از	از	（場所）・・・から				
23033	از	از	（場所）・・・から				
24016	از	از	（場所）・・・から				
24005	از	از	（場所）・・・から				
24016	از	از	（場所）・・・から				
25019	اَ	از	（場所）・・・から				
25033	از	از	（場所）・・・から				
26008	ا	از	（場所）・・・から				
26020	ا	از	（場所）・・・から				
26035	از	از	（場所）・・・から				
26035	از	از	（場所）・・・から				
26035	از	از	（場所）・・・から				
26025	از	از	（場所）・・・から				
27025	از	از	（場所）・・・から				
28097	از	از	（場所）・・・から				
27012	از	از	（場所）・・・から				
27017	از	از	（場所）・・・から				
27017	از	از	（場所）・・・から				
27036	از	از	（場所）・・・から				
27054	از	از	（場所）・・・から				
28017	از	از	（場所）・・・から				
28022	از	از	（場所）・・・から				
28071	ا	از	（場所）・・・から				
28093	ا	از	（場所）・・・から				
28099	از	از	（場所）・・・から				
27025	از	از	（場所）・・・から				
27042	از	از	（場所）・・・から				
27050	از	از	（場所）・・・から				
27050	از	از	（場所）・・・から				
28067	ا	از	（場所）・・・から				
28094	از	از	（場所）・・・から				
29010	از	از	（場所）・・・から				
29027	از	از	（場所）・・・から				
29057	از	از	（場所）・・・から				
29063	از	از	（場所）・・・から				
30012	ا	از	（場所）・・・から				
30019	از	از	（場所）・・・から				
29017	از	از	（場所）・・・から				
29024	از	از	（場所）・・・から				
29063	از	از	（場所）・・・から				
30010	از	از	（場所）・・・から				
29032	از	از	（場所）・・・から				
15048	اصا	اصلا	元来				
18002	اصلاً	اصلا	元来				
22092	اصلاً	اصلا	元来				
29004	اصلاً	اصلا	元来				
13018	اگر	اگر	もしも・・・ならば				
16021	اگه	اگر	もしも・・・ならば				
16023	اگه	اگر	もしも・・・ならば				
17028	اگه	اگر	もしも・・・ならば				
20008	اگه	اگر	もしも・・・ならば				
18008	اگر	اگر	もしも・・・ならば				
18014	اگر	اگر	もしも・・・ならば				
18022	اگه	اگر	もしも・・・ならば				
21015	اگر	اگر	もしも・・・ならば				
22023	اگر	اگر	もしも・・・ならば				
22024	اگر	اگر	もしも・・・ならば				
22082	اگر	اگر	もしも・・・ならば				
21014	اگر	اگر	もしも・・・ならば				
22043	اگه	اگر	もしも・・・ならば				
22045	اگر	اگر	もしも・・・ならば				
22150	اگر	اگر	もしも・・・ならば				
26009	اگر	اگر	もしも・・・ならば				
26014	اگر	اگر	もしも・・・ならば				
27015	اگر	اگر	もしも・・・ならば				
27009	اگر	اگر	もしも・・・ならば				
30014	اگه	اگر	もしも・・・ならば				
30016	اگه	اگر	もしも・・・ならば				
13063	الان	الان	ちょうど今				
22083	الان	الان	ちょうど今				
22093	الان	الان	ちょうど今				
25040	الآن	الان	ちょうど今				
28104	الان	الان	ちょうど今				
28090	الاً	الان	ちょうど今				
13002	البته	البته	もちろん				
13005	اما	اما	しかし				
13028	اما	اما	しかし				
13012	بهاِنقدر	آنقدر	非常に…ので				
22099	انقدر	آنقدر	非常に…ので				
22150	آِنقدر	آنقدر	非常に…ので				
22016	انقدر	آنقدر	非常に…ので				
22093	انقدر	آنقدر	非常に…ので				
22149	آِنقدر	آنقدر	非常に…ので				
29028	اونوقت	آنوقت	その時				
25002	اونوقت	آنوقت	その時				
29016	اونوقت	آنوقت	その時				
18054	ای	ای	بودنの二人称単数現在形（前の語尾が発音されないهで終わる場合）				
18018	ای	ای	بودنの二人称単数現在形（前の語尾が発音されないهで終わる場合）				
22025	آیا	آیا	疑問を表す辞…か？				
15035	اینقدر	اینقدر	こんなに				
28068	اینقده	اینقدر	こんなに				
28068	اینقده	اینقدر	こんなに				
28068	اینقده	اینقدر	こんなに				
28068	اینقده	اینقدر	こんなに				
11010	با	با	（同伴、同居など）…と（共に）				
11010	با	با	（同伴、同居など）…と（共に）				
11019	با	با	（同伴、同居など）…と（共に）				
12016	با	با	（同伴、同居など）…と（共に）				
13015	به	با	（同伴、同居など）…と（共に）				
13024	با	با	（同伴、同居など）…と（共に）				
13035	با	با	（同伴、同居など）…と（共に）				
13060	با	با	（同伴、同居など）…と（共に）				
13065	با	با	（同伴、同居など）…と（共に）				
11006	با	با	（同伴、同居など）…と（共に）				
13020	با	با	（同伴、同居など）…と（共に）				
13021	با	با	（同伴、同居など）…と（共に）				
12005	با	با	（同伴、同居など）…と（共に）				
16020	با	با	（同伴、同居など）…と（共に）				
17018	با	با	（同伴、同居など）…と（共に）				
17019	با	با	（同伴、同居など）…と（共に）				
17027	با	با	（同伴、同居など）…と（共に）				
17037	با	با	（同伴、同居など）…と（共に）				
18026	با	با	（同伴、同居など）…と（共に）				
18066	با	با	（同伴、同居など）…と（共に）				
19003	با	با	（同伴、同居など）…と（共に）				
19008	با	با	（同伴、同居など）…と（共に）				
20006	با	با	（同伴、同居など）…と（共に）				
21023	با	با	（同伴、同居など）…と（共に）				
22022	با	با	（同伴、同居など）…と（共に）				
22026	با	با	（同伴、同居など）…と（共に）				
22057	با	با	（同伴、同居など）…と（共に）				
21065	با	با	（同伴、同居など）…と（共に）				
22130	با	با	（同伴、同居など）…と（共に）				
26024	با	با	（同伴、同居など）…と（共に）				
27003	با	با	（同伴、同居など）…と（共に）				
27039	با	با	（同伴、同居など）…と（共に）				
28073	با	با	（同伴、同居など）…と（共に）				
28087	با	با	（同伴、同居など）…と（共に）				
29037	با	با	（同伴、同居など）…と（共に）				
29046	با	با	（同伴、同居など）…と（共に）				
30025	با	با	（同伴、同居など）…と（共に）				
29004	با	با	（同伴、同居など）…と（共に）				
29007	با	با	（同伴、同居など）…と（共に）				
30018	با	با	（同伴、同居など）…と（共に）				
11021	باز	باز	再び				
17042	باز	باز	再び				
22095	باز	باز	再び				
22133	باز	باز	再び				
22150	باز	باز	再び				
23050	باز	باز	再び				
29039	باز	باز	再び				
11021	بالاخره	بالاخره	とうとう				
15009	بالاخره	بالاخره	とうとう				
15014	بالاخره	بالاخره	とうとう				
15023	بالاخره	بالاخره	とうとう				
15029	بالاخره	بالاخره	とうとう				
15037	بالاخره	بالاخره	とうとう				
15037	بالاخره	بالاخره	とうとう				
15042	بالاخره	بالاخره	とうとう				
15047	بالاخره	بالاخره	とうとう				
15050	بالاخره	بالاخره	とうとう				
15050	بالاخره	بالاخره	とうとう				
22027	بالاخره	بالاخره	とうとう				
24006	بالاخره	بالاخره	とうとう				
27046	بالاخره	بالاخره	とうとう				
28081	بالاخره	بالاخره	とうとう				
21047	باهم	باهم	ともに				
12011	بر	بر	・・・の上に				
12016	بر	بر	・・・の上に				
13065	بر	بر	・・・の上に				
14006	ور	بر	・・・の上に				
14007	ور	بر	・・・の上に				
15015	بر	بر	・・・の上に				
19011	بر	بر	・・・の上に				
20035	بر	بر	・・・の上に				
22131	بر	بر	・・・の上に				
22132	بر	بر	・・・の上に				
23038	بر	بر	・・・の上に				
23009	بر	بر	・・・の上に				
25016	بر	بر	・・・の上に				
27008	ور	بر	・・・の上に				
27020	ور	بر	・・・の上に				
27039	بر	بر	・・・の上に				
28034	ور	بر	・・・の上に				
28035	ور	بر	・・・の上に				
28067	بر	بر	・・・の上に				
28085	ور	بر	・・・の上に				
28088	بر	بر	・・・の上に				
28092	ور	بر	・・・の上に				
30015	بر	بر	・・・の上に				
29039	بر	بر	・・・の上に				
30016	بر	بر	・・・の上に				
30023	بر	بر	・・・の上に				
13018	بر	بر	動詞の接頭辞として用いられる				
13018	بر	بر	動詞の接頭辞として用いられる				
13021	بر	بر	動詞の接頭辞として用いられる				
13029	ور	بر	動詞の接頭辞として用いられる				
13031	بر	بر	動詞の接頭辞として用いられる				
13039	ور	بر	動詞の接頭辞として用いられる				
13041	ور	بر	動詞の接頭辞として用いられる				
13042	ور	بر	動詞の接頭辞として用いられる				
13046	ور	بر	動詞の接頭辞として用いられる				
13046	ور	بر	動詞の接頭辞として用いられる				
13047	ور	بر	動詞の接頭辞として用いられる				
13047	ور	بر	動詞の接頭辞として用いられる				
13047	ور	بر	動詞の接頭辞として用いられる				
13065	بر	بر	動詞の接頭辞として用いられる				
13065	ور	بر	動詞の接頭辞として用いられる				
15030	بر	بر	動詞の接頭辞として用いられる				
15031	بر	بر	動詞の接頭辞として用いられる				
15036	بر	بر	動詞の接頭辞として用いられる				
15048	ور	بر	動詞の接頭辞として用いられる				
13021	ور	بر	動詞の接頭辞として用いられる				
13021	ور	بر	動詞の接頭辞として用いられる				
13050	ور	بر	動詞の接頭辞として用いられる				
16012	بر	بر	動詞の接頭辞として用いられる				
16045	ور	بر	動詞の接頭辞として用いられる				
17022	بر	بر	動詞の接頭辞として用いられる				
17024	بر	بر	動詞の接頭辞として用いられる				
17027	بر	بر	動詞の接頭辞として用いられる				
17035	بر	بر	動詞の接頭辞として用いられる				
17036	بر	بر	動詞の接頭辞として用いられる				
17040	بر	بر	動詞の接頭辞として用いられる				
17041	بر	بر	動詞の接頭辞として用いられる				
17041	بر	بر	動詞の接頭辞として用いられる				
17041	بر	بر	動詞の接頭辞として用いられる				
17042	بر	بر	動詞の接頭辞として用いられる				
17042	بر	بر	動詞の接頭辞として用いられる				
17046	بر	بر	動詞の接頭辞として用いられる				
18005	بر	بر	動詞の接頭辞として用いられる				
18040	بر	بر	動詞の接頭辞として用いられる				
19005	بر	بر	動詞の接頭辞として用いられる				
19009	بر	بر	動詞の接頭辞として用いられる				
20005	ور	بر	動詞の接頭辞として用いられる				
20005	ور	بر	動詞の接頭辞として用いられる				
20007	بر	بر	動詞の接頭辞として用いられる				
20011	بر	بر	動詞の接頭辞として用いられる				
20016	بر	بر	動詞の接頭辞として用いられる				
20023	بر	بر	動詞の接頭辞として用いられる				
20029	بر	بر	動詞の接頭辞として用いられる				
20029	ور	بر	動詞の接頭辞として用いられる				
16048	ور	بر	動詞の接頭辞として用いられる				
18055	بر	بر	動詞の接頭辞として用いられる				
18056	بر	بر	動詞の接頭辞として用いられる				
20008	بر	بر	動詞の接頭辞として用いられる				
20015	بر	بر	動詞の接頭辞として用いられる				
20015	بر	بر	動詞の接頭辞として用いられる				
20022	بر	بر	動詞の接頭辞として用いられる				
20035	ور	بر	動詞の接頭辞として用いられる				
21053	بر	بر	動詞の接頭辞として用いられる				
13039	برا	برای	・・・のために				
15015	برای	برای	・・・のために				
15046	برای	برای	・・・のために				
13018	برای	برای	・・・のために				
18009	بی	برای	・・・のために				
18049	بی	برای	・・・のために				
18055	بی	برای	・・・のために				
21006	برای	برای	・・・のために				
21013	برای	برای	・・・のために				
21019	برای	برای	・・・のために				
21025	برای	برای	・・・のために				
21026	برای	برای	・・・のために				
21054	برای	برای	・・・のために				
21055	برای	برای	・・・のために				
21060	برای	برای	・・・のために				
21061	برای	برای	・・・のために				
21062	برای	برای	・・・のために				
21065	برای	برای	・・・のために				
22020	برای	برای	・・・のために				
22037	برای	برای	・・・のために				
22055	برای	برای	・・・のために				
21005	برای	برای	・・・のために				
21043	برای	برای	・・・のために				
21058	برای	برای	・・・のために				
25011	برا	برای	・・・のために				
27028	واسه	برای	・・・のために				
27031	واسه	برای	・・・のために				
28070	برای	برای	・・・のために				
28070	برای	برای	・・・のために				
28105	برای	برای	・・・のために				
28106	برای	برای	・・・のために				
29022	برای	برای	・・・のために				
29039	برای	برای	・・・のために				
14015	بعداً	بعدا	後に				
24013	بعداً	بعدا	後に				
24016	بعداً	بعدا	後に				
27027	بعدً	بعدا	後に				
29019	بعداً	بعدا	後に				
12022	بلکه	بلکه	恐らく				
27017	اره	بله	（肯定の返事）はい				
13051	اره	بله	（肯定の返事）はい				
13060	اره	بله	（肯定の返事）はい				
13062	بله	بله	（肯定の返事）はい				
13064	اره	بله	（肯定の返事）はい				
13058	اره	بله	（肯定の返事）はい				
14018	اره	بله	（肯定の返事）はい				
14018	اره	بله	（肯定の返事）はい				
14020	اره	بله	（肯定の返事）はい				
17021	اره	بله	（肯定の返事）はい				
16032	بله	بله	（肯定の返事）はい				
18056	بله	بله	（肯定の返事）はい				
20010	بله	بله	（肯定の返事）はい				
20017	اره	بله	（肯定の返事）はい				
20025	اره	بله	（肯定の返事）はい				
20034	اره	بله	（肯定の返事）はい				
22058	بله	بله	（肯定の返事）はい				
22077	بله	بله	（肯定の返事）はい				
22102	بله	بله	（肯定の返事）はい				
22113	بله	بله	（肯定の返事）はい				
27014	اره	بله	（肯定の返事）はい				
27033	اره	بله	（肯定の返事）はい				
29024	اره	بله	（肯定の返事）はい				
11021	به	به	・・・に				
12006	به	به	・・・に				
12009	به	به	・・・に				
12013	به	به	・・・に				
12014	به	به	・・・に				
12019	به	به	・・・に				
13007	به	به	・・・に				
