34025	 دوتاش 	او	三人称単数人称代名詞（彼、彼女）	تا	・・・個pos_num:sp_	دو	2
33021	 سردرشو 	را	・・・を	او	あれ、それ	سردر	（建物の）正面
49009	 حلال آرا 	حلال	イスラム法にかなった	راه	道	از	（場所）・・・から 
58041	 بجایکه 	جا	場所	به	・・・に	که	・・・であるということ 
44080	 بچیه 	بودن	・・・である	چه	なに	به	・・・に 
50039	 روشه 	بودن	・・・である	او	三人称単数人称代名詞（彼、彼女）	رو	・・・の上に 
50067	 همچیزیو 	را	・・・を	چیز	もの	هم	・・もまた 
50049	 همشونم 	هم	・・もまた	آنها	彼ら	همه	すべて 
47007	 خونشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	خانه	家
57035	 دخترانش 	بودن	・・・である	تو	お前	یاد	記憶 
36018	 وظیفته 	بودن	・・・である	تو	お前	وظیفه	義務 
37015	 پولتو 	را	・・・を	تو	お前	پول	金銭 
62019	 پولمه 	بودن	・・・である	من	私	پول	金銭 
43031	 برادرشه 	بودن	・・・である	او	三人称単数人称代名詞（彼、彼女）	برادر	兄弟 
47020	 دهانتانه 	بودن	・・・である	شما	あなた	دهان	口 
33006	 بازماندگانشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	بازمانده	残存
35010	 بچشه 	بودن	・・・である	او	あれ、それ	بچه	子供
38015	 بچه اشو 	را	・・・を	او	あれ、それ 	بچه	子供
33009	 بچه هاشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	بچه	子供
33003	 فرزندانشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	فرزند	子供
33005	 فرزندانشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	فرزند	子供
34036	 انگشتشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	انگشت	指 
33003	 مرگشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	مرگ	死
33005	 مرگشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	مرگ	死
33006	 مرگشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	مرگ	死
34045	 دندونته 	بودن	・・・である	تو	お前	دندان	歯 
34046	 دندونمه 	بودن	・・・である	من	私	دندان	歯 
53088	 وقتشه 	بودن	・・・である	او	三人称単数人称代名詞（彼、彼女）	وقت	時間 
44070	 خودشونو 	را	・・・を	آنها	彼ら	خود	自身
44079	 خودتونو 	را	・・・を	شما	あなた	خود	自身 
56013	 خودتو 	را	・・・を	تو	お前	خود	自身 
40031	 خودشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	خود	自身 
43039	 خودشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	خود	自身 
44079	 خودمو 	را	・・・を	من	私	خود	自身 
50079	 خودمو 	را	・・・を	من	私	خود	自身 
50079	 خودشونو 	را	・・・を	آنها	彼ら	خود	自身 
45023	 دستشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	دست	手 
