163020	 سرکونشو 	سر	頭	 کون 	未決	او	三人称単数人称代名詞（彼、彼女）	را	・・・を
132008	 ویمیسته 	او	三人称単数人称代名詞（彼、彼女）	را	・・・を	منتظر	待つ	ماندن	留まる
132009	 ویمیسته 	او	三人称単数人称代名詞（彼、彼女）	را	・・・を	منتظر	待つ	ماندن	留まる
123011	 خودتونم 	خود	自身	شما	あなた	بودن	・・・である		
75012	 درباریاست 	درباری	宮廷の	ها	おや！	بودن	・・・である		
134003	 اینچیا 	این	この	چه	どうして	بودن	・・・である		
96132	 جیبشه 	جیب	ポケット	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
148016	 ماشینمه 	ماشین	機械	من	私	بودن	・・・である		
148016	 ماشینمه 	ماشین	機械	من	私	بودن	・・・である		
143008	 مثیکه 	مثل	類似	این	この	که1	・・・であるということ		
143008	 مثیکه 	مثل	類似	این	この	که1	・・・であるということ		
196007	 مثیکه 	مثل	類似	این	この	که1	・・・であるということ		
196008	 مثیکه 	مثل	類似	این	この	که1	・・・であるということ		
143002	 مثینکه 	مثل	類似	این	この	که1	・・・であるということ		
143002	 مثینکه 	مثل	類似	این	この	که1	・・・であるということ		
134005	 ورداربیارکه 	برداشتن	持ち上げる	آوردن	持ってくる	که1	・・・であるということ		
82009	 بقدریکه 	به1	・・・に	قدری1	少々	که1	・・・であるということ		
198001	 روشو 	رو	・・・の上に	آن1	あれ	را	・・・を		
150028	 زنتو 	زن	女性	تو1	お前	را	・・・を		
150028	 زنتو 	زن	女性	تو1	お前	را	・・・を		
112082	 درشو 	در1	戸	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
150030	 زنشو 	زن	女性	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
150030	 زنشو 	زن	女性	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
141014	 آبشو 	آب	水	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
141014	 آبشو 	آب	水	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
112058	 دمشو 	دم1	尾	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
87004	 لپاشو 	لپ	頬	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
199006	 اسمشو 	اسم	名前	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
199005	 اسمشو 	اسم	名前	او	三人称単数人称代名詞（彼、彼女）	را	・・・を		
148016	 ماشینمو 	ماشین	機械	من	私	را	・・・を		
148016	 ماشینمو 	ماشین	機械	من	私	را	・・・を		
93012	 سیبیلامو 	سبیل	口ひげ	من	私	را	・・・を		
79007	 مزدمو 	مزد	賃金	من	私	را	・・・を		
93013	 سیبیلامو 	سبیل	口ひげ	من	私	را	・・・を;		
96073	 خودشم 	خود	自身	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
96167	 دستشم 	دست	手	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
75024	 گوشتشم 	گوشت	肉	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
76018	 لباسشم 	لباس	服	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
96097	 اسمشم 	اسم	名前	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
124011	 دیگاتون 	دیگ	かま	ها	おや！	شما	あなた		
124012	 دیگاتون 	دیگ	かま	ها	おや！	شما	あなた		
79007	 وصورتتو 	و	そして	صورت	顔	تو1	お前		
189004	 دوزاری 	سکه	貨幣	دو	2	ریال	リヤール（イランの貨幣単位）		
120013	 پاشنه هاش 	پاشنه	かかと	ها	おや！	او	三人称単数人称代名詞（彼、彼女）		
123007	 جیباش 	جیب	ポケット	ها	おや！	او	三人称単数人称代名詞（彼、彼女）		
75001	 جنگاش 	جنگ	戦争	ها	おや！	او	三人称単数人称代名詞（彼、彼女）		
123009	 اطرافشو 	طرف1	側	ها	おや！	او	三人称単数人称代名詞（彼、彼女）		
89015	 توگلوش 	تو2	・・・の中に	گلو	のど	او	三人称単数人称代名詞（彼、彼女）		
87069	 بهواش 	به1	・・・に	هوا	空気	او	三人称単数人称代名詞（彼、彼女）		
87063	 روکولش 	رو	・・・の上に	کول	肩	او	三人称単数人称代名詞（彼、彼女）		
86016	 براهش 	به1	・・・に	راه	道	او	三人称単数人称代名詞（彼、彼女）		
89007	 ابزارکار شون 	آنها	彼ら	ابزار	道具	کار	仕事		
132005	 نگران وام 	نگران	心配な	و	そして	من	私		
143003	 ازخودمون 	از	（場所）・・・から	خود	自身	ما	私たち		
143003	 ازخودمون 	از	（場所）・・・から	خود	自身	ما	私たち		
196007	 ازخودمون 	از	（場所）・・・から	خود	自身	ما	私たち		
102032	 خودمم 	هم	・・もまた	من	私	خود	自身		
117005	 بچینه 	به1	・・・に	چینه	土壁		鳥のえさ		
163020	 کونشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	 کون 	未決		
96154	 موها تو 	را	・・・を	تو1	お前	مو	毛		
83025	 قلقلکش 	غلغلک		او		三人称単数人称代名詞（彼、彼女）			
124008	 همسادش 	همسایه		او		三人称単数人称代名詞（彼、彼女）			
187003	 چشم هاش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
96087	 چشماش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
120012	 چشمش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
135008	 چشمش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
138005	 چشمش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
163020	 چشمش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
191014	 چشمش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
87004	 چشمهاش 	چشم	目	او		三人称単数人称代名詞（彼、彼女）			
72023	 چشمام 	چشم	目	من		私			
124004	 چشمشون 	چشم	目	آنها		彼ら			
191012	 چشمشون 	چشم	目	آنها		彼ら			
72015	 رومیکنه 	رو	・・・の上に	کردن	（あることを）する				
163013	 کردم 	من	私	کردن	（あることを）する				
78012	 ازش 	او	三人称単数人称代名詞（彼、彼女）	از	（場所）・・・から				
96163	 عباسه 	بودن	・・・である	عباس	（人名）男子の名				
150011	 بهمدون 	به1	・・・に	همدان	（地名）ハマダーン				
150011	 بهمدون 	به1	・・・に	همدان	（地名）ハマダーン				
169001	 بهیچ 	به1	・・・に	هیچ	（否定とともに）何も・・・ない				
197009	 آقاست 	آقا2	（人名）アーガー	بودن	・・・である				
90008	 انوشیروانم 	انوشیروان	（人名）アヌーシールワーン（ササーン朝名君ホスロー一世）	بودن	・・・である				
96097	 نورالعینه 	نورالعین	（人名）ヌーラルエイネ	بودن	・・・である				
96102	 نورالعینه 	نورالعین	（人名）ヌーラルエイネ	بودن	・・・である				
110003	 بودس 	بودن	・・・である	بودن	・・・である				
171005	 پشتند 	پشت	・・・の後ろに	بودن	・・・である				
111003	 آدمیبوده 	آدم	アダム	بودن	・・・である				
100020	 شماست 	شما	あなた	بودن	・・・である				
182006	 حسینم 	حسین	アリーの第2子	بودن	・・・である				
191002	 حسینه 	حسین	アリーの第2子	بودن	・・・である				
112092	 اونه 	آن1	あれ	بودن	・・・である				
197004	 کیه 	کی1	いつ	بودن	・・・である				
197006	 کیه 	کی1	いつ	بودن	・・・である				
197008	 کیه 	کی1	いつ	بودن	・・・である				
197010	 کیه 	کی1	いつ	بودن	・・・である				
197012	 کیه 	کی1	いつ	بودن	・・・である				
112046	 لاله 	لال	おしの	بودن	・・・である				
96053	 اینجاست 	اینجا	ここ（に）	بودن	・・・である				
93021	 ایناست 	این	この	بودن	・・・である				
112022	 اینای 	این	この	بودن	・・・である				
72021	 اینه 	این	この	بودن	・・・である				
84016	 اینه 	این	この	بودن	・・・である				
91041	 اینه 	این	この	بودن	・・・である				
93033	 اینه 	این	この	بودن	・・・である				
96095	 اینه 	این	この	بودن	・・・である				
129004	 اینه 	این	この	بودن	・・・である				
139009	 اینه 	این	この	بودن	・・・である				
139012	 اینه 	این	この	بودن	・・・である				
145007	 اینه 	این	この	بودن	・・・である				
145007	 اینه 	این	この	بودن	・・・である				
163015	 اینه 	این	この	بودن	・・・である				
79041	 ایه 	این	この	بودن	・・・である				
191017	 اینجوریه 	اینجور	このような	بودن	・・・である				
150015	 اینطوریه 	اینطور	このように	بودن	・・・である				
150015	 اینطوریه 	اینطور	このように	بودن	・・・である				
143010	 شلواریه 	شلوار	ズボン	بودن	・・・である				
143010	 شلواریه 	شلوار	ズボン	بودن	・・・である				
96028	 زیاده 	زیاد	たいへん	بودن	・・・である				
138002	 چیش 	چه	どうして	بودن	・・・である				
72024	 چیه 	چه	どうして	بودن	・・・である				
74028	 چیه 	چه	どうして	بودن	・・・である				
74033	 چیه 	چه	どうして	بودن	・・・である				
72009	 چیه 	چه	どうして	بودن	・・・である				
74043	 چیه 	چه	どうして	بودن	・・・である				
72023	 چیه 	چه	どうして	بودن	・・・である				
80010	 چیه 	چه	どうして	بودن	・・・である				
80009	 چیه 	چه	どうして	بودن	・・・である				
94008	 چیه 	چه	どうして	بودن	・・・である				
94036	 چیه 	چه	どうして	بودن	・・・である				
94036	 چیه 	چه	どうして	بودن	・・・である				
94007	 چیه 	چه	どうして	بودن	・・・である				
94042	 چیه 	چه	どうして	بودن	・・・である				
107015	 چیه 	چه	どうして	بودن	・・・である				
